Country,State,Year,Residence Type,Household Type,Asset Holding Class,Asset Type,Asset Name,"Average Value Of Assets (Ava) Per Household (UOM:INR(IndianRupees)), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Livestock & Poultry,12986
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Farm Business equipment,6626
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Non-Farm Business equipment,18315
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Transport equipment,219505
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Asset Category,Deposits etc,436804
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Loan Receivable,Cash & Kind,15532
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,10,Cash Loan,Cash loan outstanding,51548
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Land,389776
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Building,375517
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Livestock & Poultry,33526
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Farm Business equipment,2442
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Non-Farm Business equipment,2209
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Transport equipment,31699
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Asset Category,Deposits etc,86377
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Loan Receivable,Cash & Kind,2395
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Cultivator,all,Cash Loan,Cash loan outstanding,15483
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Land,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Building,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Livestock & Poultry,652
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Farm Business equipment,2
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Non-Farm Business equipment,1202
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Transport equipment,700
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Asset Category,Deposits etc,13514
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Loan Receivable,Cash & Kind,3505
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,1,Cash Loan,Cash loan outstanding,13252
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Land,47803
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Building,792
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Livestock & Poultry,7614
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Farm Business equipment,44
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Non-Farm Business equipment,352
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Transport equipment,823
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Asset Category,Deposits etc,43059
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Loan Receivable,Cash & Kind,3283
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,2,Cash Loan,Cash loan outstanding,53647
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Land,6596
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Building,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Livestock & Poultry,1377
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Farm Business equipment,41
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Non-Farm Business equipment,992
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Transport equipment,3481
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Share etc,0
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Asset Category,Deposits etc,141809
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Loan Receivable,Cash & Kind,165
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,3,Cash Loan,Cash loan outstanding,6769
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Land,60897
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Building,46345
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Livestock & Poultry,5317
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2013",Rural,Non-Cultivator,4,Asset Category,Farm Business equipment,300
